Stage   | elapsed | total score                             | per-constraint (hard/medium only)
          block-end-within-window                       score=-1901hard/0medium/0soft        matches=139
          block-no-underfill                            score=-560920hard/0medium/0soft      matches=445
          block-overfill-at-most-one-day                score=-36114hard/0medium/0soft       matches=182
          emp-monthly-overtime-limit                    score=-3978hard/0medium/0soft        matches=136
          emp-one-task-per-day                          score=-1299hard/0medium/0soft        matches=1170
          emp-region-stay-max-on                        score=-18hard/0medium/0soft          matches=2
          emp-region-transit-gap                        score=-105hard/0medium/0soft         matches=68
          phase-order                                   score=-6487hard/0medium/0soft        matches=355
          seat-daily-cap-12h                            score=-9898hard/0medium/0soft        matches=1170
Stage1  | t+  302s | total=-619602hard/0medium/-689424soft         
          block-end-within-window                       score=-1905hard/0medium/0soft        matches=140
          block-no-underfill                            score=-560440hard/0medium/0soft      matches=445
          block-overfill-at-most-one-day                score=-36148hard/0medium/0soft       matches=183
          emp-monthly-overtime-limit                    score=-3716hard/0medium/0soft        matches=133
          emp-one-task-per-day                          score=-1275hard/0medium/0soft        matches=1153
          emp-region-stay-max-on                        score=-18hard/0medium/0soft          matches=2
          emp-region-transit-gap                        score=-105hard/0medium/0soft         matches=66
          phase-order                                   score=-6481hard/0medium/0soft        matches=353
          seat-daily-cap-12h                            score=-9514hard/0medium/0soft        matches=1153
Stage1  | t+  303s | total=-619455hard/0medium/-688941soft         
          block-end-within-window                       score=-1905hard/0medium/0soft        matches=140
          block-no-underfill                            score=-560340hard/0medium/0soft      matches=443
          block-overfill-at-most-one-day                score=-36116hard/0medium/0soft       matches=185
          emp-monthly-overtime-limit                    score=-3732hard/0medium/0soft        matches=132
          emp-one-task-per-day                          score=-1267hard/0medium/0soft        matches=1145
          emp-region-stay-max-on                        score=-18hard/0medium/0soft          matches=2
          emp-region-transit-gap                        score=-105hard/0medium/0soft         matches=65
          phase-order                                   score=-6490hard/0medium/0soft        matches=354
          seat-daily-cap-12h                            score=-9482hard/0medium/0soft        matches=1145
Stage1  | t+  304s | total=-618864hard/0medium/-689033soft         
          block-end-within-window                       score=-1905hard/0medium/0soft        matches=140
          block-no-underfill                            score=-559740hard/0medium/0soft      matches=442
          block-overfill-at-most-one-day                score=-36140hard/0medium/0soft       matches=186
          emp-monthly-overtime-limit                    score=-3720hard/0medium/0soft        matches=132
          emp-one-task-per-day                          score=-1268hard/0medium/0soft        matches=1146
          emp-region-stay-max-on                        score=-18hard/0medium/0soft          matches=2
          emp-region-transit-gap                        score=-105hard/0medium/0soft         matches=65
          phase-order                                   score=-6490hard/0medium/0soft        matches=354
          seat-daily-cap-12h                            score=-9478hard/0medium/0soft        matches=1146
Stage1  | t+  305s | total=-618549hard/0medium/-688913soft         
          block-end-within-window                       score=-1913hard/0medium/0soft        matches=141
          block-no-underfill                            score=-559540hard/0medium/0soft      matches=443
          block-overfill-at-most-one-day                score=-36020hard/0medium/0soft       matches=185
          emp-monthly-overtime-limit                    score=-3720hard/0medium/0soft        matches=132
          emp-one-task-per-day                          score=-1267hard/0medium/0soft        matches=1153
          emp-region-stay-max-on                        score=-18hard/0medium/0soft          matches=2
          emp-region-transit-gap                        score=-104hard/0medium/0soft         matches=65
          phase-order                                   score=-6479hard/0medium/0soft        matches=354
          seat-daily-cap-12h                            score=-9488hard/0medium/0soft        matches=1153
Stage1  | t+  305s | total=-617296hard/0medium/-692131soft         
          block-end-within-window                       score=-2013hard/0medium/0soft        matches=143
          block-no-underfill                            score=-555820hard/0medium/0soft      matches=434
          block-overfill-at-most-one-day                score=-37184hard/0medium/0soft       matches=192
          emp-monthly-overtime-limit                    score=-3872hard/0medium/0soft        matches=139
          emp-one-task-per-day                          score=-1355hard/0medium/0soft        matches=1236
          emp-region-stay-max-on                        score=-9hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-107hard/0medium/0soft         matches=66
          phase-order                                   score=-6614hard/0medium/0soft        matches=352
          seat-daily-cap-12h                            score=-10322hard/0medium/0soft       matches=1236
Stage1  | t+  306s | total=-617171hard/0medium/-691485soft         
          block-end-within-window                       score=-1973hard/0medium/0soft        matches=140
          block-no-underfill                            score=-555620hard/0medium/0soft      matches=435
          block-overfill-at-most-one-day                score=-37526hard/0medium/0soft       matches=191
          emp-monthly-overtime-limit                    score=-3890hard/0medium/0soft        matches=140
          emp-one-task-per-day                          score=-1330hard/0medium/0soft        matches=1219
          emp-region-stay-max-on                        score=-9hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-113hard/0medium/0soft         matches=69
          phase-order                                   score=-6548hard/0medium/0soft        matches=349
          seat-daily-cap-12h                            score=-10162hard/0medium/0soft       matches=1219
Stage1  | t+  307s | total=-617148hard/0medium/-691485soft         
          block-end-within-window                       score=-1973hard/0medium/0soft        matches=140
          block-no-underfill                            score=-555620hard/0medium/0soft      matches=435
          block-overfill-at-most-one-day                score=-37526hard/0medium/0soft       matches=191
          emp-monthly-overtime-limit                    score=-3890hard/0medium/0soft        matches=140
          emp-one-task-per-day                          score=-1329hard/0medium/0soft        matches=1218
          emp-region-stay-max-on                        score=-9hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-108hard/0medium/0soft         matches=68
          phase-order                                   score=-6527hard/0medium/0soft        matches=348
          seat-daily-cap-12h                            score=-10166hard/0medium/0soft       matches=1218
Stage1  | t+  307s | total=-616667hard/0medium/-690843soft         
          block-end-within-window                       score=-1973hard/0medium/0soft        matches=140
          block-no-underfill                            score=-554820hard/0medium/0soft      matches=435
          block-overfill-at-most-one-day                score=-37802hard/0medium/0soft       matches=191
          emp-monthly-overtime-limit                    score=-3914hard/0medium/0soft        matches=141
          emp-one-task-per-day                          score=-1332hard/0medium/0soft        matches=1221
          emp-region-stay-max-on                        score=-9hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-108hard/0medium/0soft         matches=68
          phase-order                                   score=-6519hard/0medium/0soft        matches=347
          seat-daily-cap-12h                            score=-10190hard/0medium/0soft       matches=1221
Stage1  | t+  308s | total=-615867hard/0medium/-690905soft         
          block-end-within-window                       score=-1971hard/0medium/0soft        matches=140
          block-no-underfill                            score=-554100hard/0medium/0soft      matches=436
          block-overfill-at-most-one-day                score=-37894hard/0medium/0soft       matches=190
          emp-monthly-overtime-limit                    score=-3826hard/0medium/0soft        matches=141
          emp-one-task-per-day                          score=-1332hard/0medium/0soft        matches=1217
          emp-region-stay-max-on                        score=-9hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-106hard/0medium/0soft         matches=67
          phase-order                                   score=-6491hard/0medium/0soft        matches=346
          seat-daily-cap-12h                            score=-10138hard/0medium/0soft       matches=1217
Stage1  | t+  309s | total=-615792hard/0medium/-690950soft         
          block-end-within-window                       score=-1978hard/0medium/0soft        matches=141
          block-no-underfill                            score=-554020hard/0medium/0soft      matches=436
          block-overfill-at-most-one-day                score=-37902hard/0medium/0soft       matches=190
          emp-monthly-overtime-limit                    score=-3826hard/0medium/0soft        matches=141
          emp-one-task-per-day                          score=-1331hard/0medium/0soft        matches=1216
          emp-region-stay-max-on                        score=-9hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-105hard/0medium/0soft         matches=67
          phase-order                                   score=-6491hard/0medium/0soft        matches=346
          seat-daily-cap-12h                            score=-10130hard/0medium/0soft       matches=1216
Stage1  | t+  309s | total=-615401hard/0medium/-691082soft         
          block-end-within-window                       score=-1987hard/0medium/0soft        matches=142
          block-no-underfill                            score=-553540hard/0medium/0soft      matches=435
          block-overfill-at-most-one-day                score=-37962hard/0medium/0soft       matches=191
          emp-monthly-overtime-limit                    score=-3846hard/0medium/0soft        matches=142
          emp-one-task-per-day                          score=-1331hard/0medium/0soft        matches=1216
          emp-region-stay-max-on                        score=-9hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-105hard/0medium/0soft         matches=67
          phase-order                                   score=-6491hard/0medium/0soft        matches=346
          seat-daily-cap-12h                            score=-10130hard/0medium/0soft       matches=1216
Stage1  | t+  310s | total=-615017hard/0medium/-690830soft         
          block-end-within-window                       score=-1972hard/0medium/0soft        matches=141
          block-no-underfill                            score=-553540hard/0medium/0soft      matches=435
          block-overfill-at-most-one-day                score=-37706hard/0medium/0soft       matches=191
          emp-monthly-overtime-limit                    score=-3862hard/0medium/0soft        matches=142
          emp-one-task-per-day                          score=-1316hard/0medium/0soft        matches=1201
          emp-region-stay-max-on                        score=-9hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-105hard/0medium/0soft         matches=67
          phase-order                                   score=-6491hard/0medium/0soft        matches=346
          seat-daily-cap-12h                            score=-10016hard/0medium/0soft       matches=1201
Stage1  | t+  311s | total=-614205hard/0medium/-691790soft         
          block-end-within-window                       score=-1988hard/0medium/0soft        matches=141
          block-no-underfill                            score=-551940hard/0medium/0soft      matches=433
          block-overfill-at-most-one-day                score=-37968hard/0medium/0soft       matches=191
          emp-monthly-overtime-limit                    score=-3962hard/0medium/0soft        matches=143
          emp-one-task-per-day                          score=-1353hard/0medium/0soft        matches=1225
          emp-region-stay-max-on                        score=-9hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-106hard/0medium/0soft         matches=68
          phase-order                                   score=-6511hard/0medium/0soft        matches=346
          seat-daily-cap-12h                            score=-10368hard/0medium/0soft       matches=1225
Stage1  | t+  311s | total=-613778hard/0medium/-691838soft         
          block-end-within-window                       score=-1988hard/0medium/0soft        matches=141
          block-no-underfill                            score=-551460hard/0medium/0soft      matches=433
          block-overfill-at-most-one-day                score=-37968hard/0medium/0soft       matches=191
          emp-monthly-overtime-limit                    score=-3962hard/0medium/0soft        matches=143
          emp-one-task-per-day                          score=-1359hard/0medium/0soft        matches=1231
          emp-region-stay-max-on                        score=-9hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-105hard/0medium/0soft         matches=67
          phase-order                                   score=-6511hard/0medium/0soft        matches=346
          seat-daily-cap-12h                            score=-10416hard/0medium/0soft       matches=1231
Stage1  | t+  312s | total=-613772hard/0medium/-691920soft         
          block-end-within-window                       score=-1988hard/0medium/0soft        matches=141
          block-no-underfill                            score=-551440hard/0medium/0soft      matches=433
          block-overfill-at-most-one-day                score=-37968hard/0medium/0soft       matches=191
          emp-monthly-overtime-limit                    score=-3978hard/0medium/0soft        matches=143
          emp-one-task-per-day                          score=-1357hard/0medium/0soft        matches=1231
          emp-region-stay-max-on                        score=-9hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-105hard/0medium/0soft         matches=67
          phase-order                                   score=-6511hard/0medium/0soft        matches=346
          seat-daily-cap-12h                            score=-10416hard/0medium/0soft       matches=1231
Stage1  | t+  313s | total=-613772hard/0medium/-691739soft         
          block-end-within-window                       score=-1988hard/0medium/0soft        matches=141
          block-no-underfill                            score=-551280hard/0medium/0soft      matches=433
          block-overfill-at-most-one-day                score=-38064hard/0medium/0soft       matches=191
          emp-monthly-overtime-limit                    score=-3978hard/0medium/0soft        matches=143
          emp-one-task-per-day                          score=-1365hard/0medium/0soft        matches=1236
          emp-region-stay-max-on                        score=-9hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-103hard/0medium/0soft         matches=66
          phase-order                                   score=-6513hard/0medium/0soft        matches=346
          seat-daily-cap-12h                            score=-10472hard/0medium/0soft       matches=1236
Stage1  | t+  314s | total=-613652hard/0medium/-691831soft         
          block-end-within-window                       score=-1988hard/0medium/0soft        matches=141
          block-no-underfill                            score=-551160hard/0medium/0soft      matches=433
          block-overfill-at-most-one-day                score=-38064hard/0medium/0soft       matches=191
          emp-monthly-overtime-limit                    score=-3978hard/0medium/0soft        matches=143
          emp-one-task-per-day                          score=-1365hard/0medium/0soft        matches=1236
          emp-region-stay-max-on                        score=-9hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-103hard/0medium/0soft         matches=66
          phase-order                                   score=-6513hard/0medium/0soft        matches=346
          seat-daily-cap-12h                            score=-10472hard/0medium/0soft       matches=1236
Stage1  | t+  314s | total=-613560hard/0medium/-691821soft         
          block-end-within-window                       score=-1979hard/0medium/0soft        matches=140
          block-no-underfill                            score=-551160hard/0medium/0soft      matches=433
          block-overfill-at-most-one-day                score=-38064hard/0medium/0soft       matches=191
          emp-monthly-overtime-limit                    score=-3970hard/0medium/0soft        matches=144
          emp-one-task-per-day                          score=-1357hard/0medium/0soft        matches=1228
          emp-region-stay-max-on                        score=-9hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-103hard/0medium/0soft         matches=66
          phase-order                                   score=-6526hard/0medium/0soft        matches=348
          seat-daily-cap-12h                            score=-10392hard/0medium/0soft       matches=1228
Stage1  | t+  315s | total=-613532hard/0medium/-691887soft         
          block-end-within-window                       score=-1979hard/0medium/0soft        matches=140
          block-no-underfill                            score=-551160hard/0medium/0soft      matches=433
          block-overfill-at-most-one-day                score=-38064hard/0medium/0soft       matches=191
          emp-monthly-overtime-limit                    score=-3968hard/0medium/0soft        matches=144
          emp-one-task-per-day                          score=-1353hard/0medium/0soft        matches=1224
          emp-region-stay-max-on                        score=-9hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-103hard/0medium/0soft         matches=66
          phase-order                                   score=-6526hard/0medium/0soft        matches=348
          seat-daily-cap-12h                            score=-10370hard/0medium/0soft       matches=1224
Stage1  | t+  316s | total=-613450hard/0medium/-691901soft         
          block-end-within-window                       score=-1974hard/0medium/0soft        matches=139
          block-no-underfill                            score=-551020hard/0medium/0soft      matches=433
          block-overfill-at-most-one-day                score=-38064hard/0medium/0soft       matches=191
          emp-monthly-overtime-limit                    score=-3990hard/0medium/0soft        matches=144
          emp-one-task-per-day                          score=-1352hard/0medium/0soft        matches=1219
          emp-region-stay-max-on                        score=-9hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-103hard/0medium/0soft         matches=66
          phase-order                                   score=-6534hard/0medium/0soft        matches=348
          seat-daily-cap-12h                            score=-10404hard/0medium/0soft       matches=1219
Stage1  | t+  316s | total=-612965hard/0medium/-693851soft         
          block-end-within-window                       score=-2022hard/0medium/0soft        matches=138
          block-no-underfill                            score=-549740hard/0medium/0soft      matches=429
          block-overfill-at-most-one-day                score=-38500hard/0medium/0soft       matches=192
          emp-monthly-overtime-limit                    score=-4074hard/0medium/0soft        matches=143
          emp-one-task-per-day                          score=-1326hard/0medium/0soft        matches=1182
          emp-region-stay-max-on                        score=-9hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-102hard/0medium/0soft         matches=69
          phase-order                                   score=-6636hard/0medium/0soft        matches=341
          seat-daily-cap-12h                            score=-10556hard/0medium/0soft       matches=1182
Stage1  | t+  317s | total=-612094hard/0medium/-694123soft         
          block-end-within-window                       score=-2023hard/0medium/0soft        matches=139
          block-no-underfill                            score=-548460hard/0medium/0soft      matches=428
          block-overfill-at-most-one-day                score=-38620hard/0medium/0soft       matches=193
          emp-monthly-overtime-limit                    score=-4152hard/0medium/0soft        matches=143
          emp-one-task-per-day                          score=-1342hard/0medium/0soft        matches=1193
          emp-region-stay-max-on                        score=-9hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-104hard/0medium/0soft         matches=70
          phase-order                                   score=-6636hard/0medium/0soft        matches=342
          seat-daily-cap-12h                            score=-10748hard/0medium/0soft       matches=1193
Stage1  | t+  318s | total=-611526hard/0medium/-694123soft         
          block-end-within-window                       score=-2023hard/0medium/0soft        matches=139
          block-no-underfill                            score=-547980hard/0medium/0soft      matches=427
          block-overfill-at-most-one-day                score=-38564hard/0medium/0soft       matches=193
          emp-monthly-overtime-limit                    score=-4152hard/0medium/0soft        matches=143
          emp-one-task-per-day                          score=-1336hard/0medium/0soft        matches=1187
          emp-region-stay-max-on                        score=-9hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-104hard/0medium/0soft         matches=70
          phase-order                                   score=-6658hard/0medium/0soft        matches=342
          seat-daily-cap-12h                            score=-10700hard/0medium/0soft       matches=1187
Stage1  | t+  319s | total=-610854hard/0medium/-694216soft         
          block-end-within-window                       score=-2023hard/0medium/0soft        matches=139
          block-no-underfill                            score=-547280hard/0medium/0soft      matches=427
          block-overfill-at-most-one-day                score=-38564hard/0medium/0soft       matches=193
          emp-monthly-overtime-limit                    score=-4152hard/0medium/0soft        matches=143
          emp-one-task-per-day                          score=-1339hard/0medium/0soft        matches=1190
          emp-region-stay-max-on                        score=-9hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-105hard/0medium/0soft         matches=71
          phase-order                                   score=-6658hard/0medium/0soft        matches=342
          seat-daily-cap-12h                            score=-10724hard/0medium/0soft       matches=1190
Stage1  | t+  319s | total=-610854hard/0medium/-694136soft         
          block-end-within-window                       score=-2023hard/0medium/0soft        matches=139
          block-no-underfill                            score=-547280hard/0medium/0soft      matches=427
          block-overfill-at-most-one-day                score=-38564hard/0medium/0soft       matches=193
          emp-monthly-overtime-limit                    score=-4152hard/0medium/0soft        matches=143
          emp-one-task-per-day                          score=-1339hard/0medium/0soft        matches=1190
          emp-region-stay-max-on                        score=-9hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-105hard/0medium/0soft         matches=71
          phase-order                                   score=-6658hard/0medium/0soft        matches=342
          seat-daily-cap-12h                            score=-10724hard/0medium/0soft       matches=1190
Stage1  | t+  320s | total=-610473hard/0medium/-694176soft         
          block-end-within-window                       score=-2023hard/0medium/0soft        matches=139
          block-no-underfill                            score=-546880hard/0medium/0soft      matches=427
          block-overfill-at-most-one-day                score=-38564hard/0medium/0soft       matches=193
          emp-monthly-overtime-limit                    score=-4148hard/0medium/0soft        matches=143
          emp-one-task-per-day                          score=-1342hard/0medium/0soft        matches=1192
          emp-region-stay-max-on                        score=-9hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-105hard/0medium/0soft         matches=71
          phase-order                                   score=-6658hard/0medium/0soft        matches=342
          seat-daily-cap-12h                            score=-10744hard/0medium/0soft       matches=1192
Stage1  | t+  321s | total=-610207hard/0medium/-696923soft         
          block-end-within-window                       score=-2022hard/0medium/0soft        matches=140
          block-no-underfill                            score=-546580hard/0medium/0soft      matches=427
          block-overfill-at-most-one-day                score=-38564hard/0medium/0soft       matches=193
          emp-monthly-overtime-limit                    score=-4034hard/0medium/0soft        matches=139
          emp-one-task-per-day                          score=-1359hard/0medium/0soft        matches=1206
          emp-region-stay-max-on                        score=-9hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-110hard/0medium/0soft         matches=74
          phase-order                                   score=-6725hard/0medium/0soft        matches=337
          seat-daily-cap-12h                            score=-10804hard/0medium/0soft       matches=1206
Stage1  | t+  322s | total=-609660hard/0medium/-697139soft         
          block-end-within-window                       score=-2022hard/0medium/0soft        matches=140
          block-no-underfill                            score=-545460hard/0medium/0soft      matches=427
          block-overfill-at-most-one-day                score=-38664hard/0medium/0soft       matches=193
          emp-monthly-overtime-limit                    score=-4162hard/0medium/0soft        matches=142
          emp-one-task-per-day                          score=-1381hard/0medium/0soft        matches=1216
          emp-region-stay-max-on                        score=-9hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-109hard/0medium/0soft         matches=74
          phase-order                                   score=-6739hard/0medium/0soft        matches=341
          seat-daily-cap-12h                            score=-11114hard/0medium/0soft       matches=1216
Stage1  | t+  322s | total=-609437hard/0medium/-697151soft         
          block-end-within-window                       score=-2022hard/0medium/0soft        matches=140
          block-no-underfill                            score=-545160hard/0medium/0soft      matches=427
          block-overfill-at-most-one-day                score=-38644hard/0medium/0soft       matches=193
          emp-monthly-overtime-limit                    score=-4208hard/0medium/0soft        matches=143
          emp-one-task-per-day                          score=-1383hard/0medium/0soft        matches=1218
          emp-region-stay-max-on                        score=-9hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-108hard/0medium/0soft         matches=74
          phase-order                                   score=-6737hard/0medium/0soft        matches=341
          seat-daily-cap-12h                            score=-11166hard/0medium/0soft       matches=1218
Stage1  | t+  323s | total=-609037hard/0medium/-697361soft         
          block-end-within-window                       score=-2022hard/0medium/0soft        matches=140
          block-no-underfill                            score=-544760hard/0medium/0soft      matches=427
          block-overfill-at-most-one-day                score=-38644hard/0medium/0soft       matches=193
          emp-monthly-overtime-limit                    score=-4208hard/0medium/0soft        matches=143
          emp-one-task-per-day                          score=-1383hard/0medium/0soft        matches=1218
          emp-region-stay-max-on                        score=-9hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-108hard/0medium/0soft         matches=74
          phase-order                                   score=-6737hard/0medium/0soft        matches=341
          seat-daily-cap-12h                            score=-11166hard/0medium/0soft       matches=1218
Stage1  | t+  324s | total=-608457hard/0medium/-697797soft         
          block-end-within-window                       score=-2025hard/0medium/0soft        matches=140
          block-no-underfill                            score=-543800hard/0medium/0soft      matches=426
          block-overfill-at-most-one-day                score=-38964hard/0medium/0soft       matches=194
          emp-monthly-overtime-limit                    score=-4208hard/0medium/0soft        matches=143
          emp-one-task-per-day                          score=-1383hard/0medium/0soft        matches=1218
          emp-region-stay-max-on                        score=-9hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-108hard/0medium/0soft         matches=74
          phase-order                                   score=-6794hard/0medium/0soft        matches=341
          seat-daily-cap-12h                            score=-11166hard/0medium/0soft       matches=1218
Stage1  | t+  325s | total=-607657hard/0medium/-697245soft         
          block-end-within-window                       score=-2026hard/0medium/0soft        matches=141
          block-no-underfill                            score=-543800hard/0medium/0soft      matches=426
          block-overfill-at-most-one-day                score=-38424hard/0medium/0soft       matches=194
          emp-monthly-overtime-limit                    score=-4038hard/0medium/0soft        matches=140
          emp-one-task-per-day                          score=-1377hard/0medium/0soft        matches=1212
          emp-region-stay-max-on                        score=-9hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-107hard/0medium/0soft         matches=74
          phase-order                                   score=-6798hard/0medium/0soft        matches=340
          seat-daily-cap-12h                            score=-11078hard/0medium/0soft       matches=1212
Stage1  | t+  326s | total=-607432hard/0medium/-699220soft         
          block-end-within-window                       score=-2033hard/0medium/0soft        matches=143
          block-no-underfill                            score=-543900hard/0medium/0soft      matches=424
          block-overfill-at-most-one-day                score=-38534hard/0medium/0soft       matches=193
          emp-monthly-overtime-limit                    score=-3976hard/0medium/0soft        matches=144
          emp-one-task-per-day                          score=-1342hard/0medium/0soft        matches=1167
          emp-region-transit-gap                        score=-109hard/0medium/0soft         matches=77
          phase-order                                   score=-6782hard/0medium/0soft        matches=344
          seat-daily-cap-12h                            score=-10756hard/0medium/0soft       matches=1167
Stage1  | t+  326s | total=-606748hard/0medium/-695284soft         
          block-end-within-window                       score=-2043hard/0medium/0soft        matches=145
          block-no-underfill                            score=-543340hard/0medium/0soft      matches=425
          block-overfill-at-most-one-day                score=-38198hard/0medium/0soft       matches=191
          emp-monthly-overtime-limit                    score=-3954hard/0medium/0soft        matches=145
          emp-one-task-per-day                          score=-1368hard/0medium/0soft        matches=1185
          emp-region-transit-gap                        score=-104hard/0medium/0soft         matches=74
          phase-order                                   score=-6763hard/0medium/0soft        matches=341
          seat-daily-cap-12h                            score=-10978hard/0medium/0soft       matches=1185
Stage1  | t+  327s | total=-606614hard/0medium/-697009soft         
          block-end-within-window                       score=-2043hard/0medium/0soft        matches=145
          block-no-underfill                            score=-542380hard/0medium/0soft      matches=424
          block-overfill-at-most-one-day                score=-38542hard/0medium/0soft       matches=192
          emp-monthly-overtime-limit                    score=-4032hard/0medium/0soft        matches=146
          emp-one-task-per-day                          score=-1409hard/0medium/0soft        matches=1217
          emp-region-transit-gap                        score=-105hard/0medium/0soft         matches=74
          phase-order                                   score=-6763hard/0medium/0soft        matches=341
          seat-daily-cap-12h                            score=-11340hard/0medium/0soft       matches=1217
Stage1  | t+  328s | total=-605539hard/0medium/-697144soft         
          block-end-within-window                       score=-2054hard/0medium/0soft        matches=145
          block-no-underfill                            score=-541260hard/0medium/0soft      matches=424
          block-overfill-at-most-one-day                score=-38554hard/0medium/0soft       matches=192
          emp-monthly-overtime-limit                    score=-4028hard/0medium/0soft        matches=147
          emp-one-task-per-day                          score=-1413hard/0medium/0soft        matches=1221
          emp-region-transit-gap                        score=-105hard/0medium/0soft         matches=74
          phase-order                                   score=-6769hard/0medium/0soft        matches=340
          seat-daily-cap-12h                            score=-11356hard/0medium/0soft       matches=1221
Stage1  | t+  328s | total=-605515hard/0medium/-697124soft         
          block-end-within-window                       score=-2054hard/0medium/0soft        matches=145
          block-no-underfill                            score=-541260hard/0medium/0soft      matches=424
          block-overfill-at-most-one-day                score=-38554hard/0medium/0soft       matches=192
          emp-monthly-overtime-limit                    score=-4028hard/0medium/0soft        matches=147
          emp-one-task-per-day                          score=-1409hard/0medium/0soft        matches=1218
          emp-region-transit-gap                        score=-105hard/0medium/0soft         matches=74
          phase-order                                   score=-6769hard/0medium/0soft        matches=340
          seat-daily-cap-12h                            score=-11336hard/0medium/0soft       matches=1218
Stage1  | t+  329s | total=-605219hard/0medium/-697356soft         
          block-end-within-window                       score=-2054hard/0medium/0soft        matches=145
          block-no-underfill                            score=-540940hard/0medium/0soft      matches=424
          block-overfill-at-most-one-day                score=-38554hard/0medium/0soft       matches=192
          emp-monthly-overtime-limit                    score=-4028hard/0medium/0soft        matches=147
          emp-one-task-per-day                          score=-1413hard/0medium/0soft        matches=1221
          emp-region-transit-gap                        score=-105hard/0medium/0soft         matches=74
          phase-order                                   score=-6769hard/0medium/0soft        matches=340
          seat-daily-cap-12h                            score=-11356hard/0medium/0soft       matches=1221
Stage1  | t+  330s | total=-605117hard/0medium/-697528soft         
          block-end-within-window                       score=-2054hard/0medium/0soft        matches=145
          block-no-underfill                            score=-540500hard/0medium/0soft      matches=423
          block-overfill-at-most-one-day                score=-38646hard/0medium/0soft       matches=193
          emp-monthly-overtime-limit                    score=-4090hard/0medium/0soft        matches=148
          emp-one-task-per-day                          score=-1427hard/0medium/0soft        matches=1228
          emp-region-transit-gap                        score=-103hard/0medium/0soft         matches=74
          phase-order                                   score=-6769hard/0medium/0soft        matches=340
          seat-daily-cap-12h                            score=-11528hard/0medium/0soft       matches=1228
Stage1  | t+  331s | total=-604707hard/0medium/-697785soft         
          block-end-within-window                       score=-2054hard/0medium/0soft        matches=145
          block-no-underfill                            score=-539940hard/0medium/0soft      matches=422
          block-overfill-at-most-one-day                score=-38758hard/0medium/0soft       matches=194
          emp-monthly-overtime-limit                    score=-4090hard/0medium/0soft        matches=148
          emp-one-task-per-day                          score=-1433hard/0medium/0soft        matches=1234
          emp-region-stay-max-on                        score=-8hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-103hard/0medium/0soft         matches=74
          phase-order                                   score=-6769hard/0medium/0soft        matches=340
          seat-daily-cap-12h                            score=-11552hard/0medium/0soft       matches=1234
Stage1  | t+  331s | total=-604227hard/0medium/-697833soft         
          block-end-within-window                       score=-2054hard/0medium/0soft        matches=145
          block-no-underfill                            score=-539460hard/0medium/0soft      matches=422
          block-overfill-at-most-one-day                score=-38758hard/0medium/0soft       matches=194
          emp-monthly-overtime-limit                    score=-4090hard/0medium/0soft        matches=148
          emp-one-task-per-day                          score=-1433hard/0medium/0soft        matches=1234
          emp-region-stay-max-on                        score=-8hard/0medium/0soft           matches=1
          emp-region-transit-gap                        score=-103hard/0medium/0soft         matches=74
          phase-order                                   score=-6769hard/0medium/0soft        matches=340
          seat-daily-cap-12h                            score=-11552hard/0medium/0soft       matches=1234
Stage1  | t+  332s | total=-603064hard/0medium/-698026soft         
          block-end-within-window                       score=-2054hard/0medium/0soft        matches=145
          block-no-underfill                            score=-538260hard/0medium/0soft      matches=421
          block-overfill-at-most-one-day                score=-38758hard/0medium/0soft       matches=194
          emp-monthly-overtime-limit                    score=-4094hard/0medium/0soft        matches=148
          emp-one-task-per-day                          score=-1436hard/0medium/0soft        matches=1235
          emp-region-stay-max-on                        score=-8hard/0medium/0soft           matches=1
